policy,character_id,runs,wins,defeats,stalls,truncated,win_rate,average_reward,average_steps,average_completed_nodes,average_fights_won,average_gold,average_deck_size,average_relic_count,average_damage_dealt,average_damage_taken
heuristic,__overall__,20,3,17,0,0,0.15,39.35800000000001,121.0,9.15,6.5,210.65,16.7,0.9,368.05,75.5
heuristic,mortuary_apprentice,20,3,17,0,0,0.15,39.35800000000001,121.0,9.15,6.5,210.65,16.7,0.9,368.05,75.5
linear_q,__overall__,20,17,3,0,0,0.85,112.147,122.65,9.85,6.75,291.6,16.05,1.05,416.0,62.6
linear_q,mortuary_apprentice,20,17,3,0,0,0.85,112.147,122.65,9.85,6.75,291.6,16.05,1.05,416.0,62.6
random,__overall__,20,0,20,0,0,0.0,-4.2805000000000035,114.1,7.6,4.6,142.4,13.75,0.75,214.05,78.3
random,mortuary_apprentice,20,0,20,0,0,0.0,-4.2805000000000035,114.1,7.6,4.6,142.4,13.75,0.75,214.05,78.3
