policy,character_id,runs,wins,defeats,stalls,truncated,win_rate,average_reward,average_steps,average_completed_nodes,average_fights_won,average_gold,average_deck_size,average_relic_count,average_damage_dealt,average_damage_taken
heuristic,__overall__,20,6,14,0,0,0.3,49.079000000000015,120.55,9.2,6.2,234.05,15.95,1.35,371.05,76.9
heuristic,mortuary_apprentice,20,6,14,0,0,0.3,49.079000000000015,120.55,9.2,6.2,234.05,15.95,1.35,371.05,76.9
linear_q,__overall__,20,13,7,0,0,0.65,93.99549999999999,126.6,9.5,6.8,284.65,16.25,1.15,440.55,66.45
linear_q,mortuary_apprentice,20,13,7,0,0,0.65,93.99549999999999,126.6,9.5,6.8,284.65,16.25,1.15,440.55,66.45
random,__overall__,20,1,19,0,0,0.05,1.501999999999989,114.45,7.75,4.65,151.85,13.75,1.15,239.45,79.35
random,mortuary_apprentice,20,1,19,0,0,0.05,1.501999999999989,114.45,7.75,4.65,151.85,13.75,1.15,239.45,79.35
