policy,character_id,runs,wins,defeats,stalls,truncated,win_rate,average_reward,average_steps,average_completed_nodes,average_fights_won,average_gold,average_deck_size,average_relic_count,average_damage_dealt,average_damage_taken
heuristic,__overall__,20,3,17,0,0,0.15,34.60699999999991,188.35,9.15,6.0,201.3,15.95,1.55,378.55,69.65
heuristic,witch_clerk,20,3,17,0,0,0.15,34.60699999999991,188.35,9.15,6.0,201.3,15.95,1.55,378.55,69.65
linear_q,__overall__,20,3,17,0,0,0.15,35.183499999999945,131.25,9.0,6.0,200.7,15.85,1.45,336.25,68.45
linear_q,witch_clerk,20,3,17,0,0,0.15,35.183499999999945,131.25,9.0,6.0,200.7,15.85,1.45,336.25,68.45
random,__overall__,20,0,20,0,0,0.0,-1.3915000000000233,114.2,7.5,4.75,152.4,13.6,0.65,212.8,72.2
random,witch_clerk,20,0,20,0,0,0.0,-1.3915000000000233,114.2,7.5,4.75,152.4,13.6,0.65,212.8,72.2
