policy,character_id,runs,wins,defeats,stalls,truncated,win_rate,average_reward,average_steps,average_completed_nodes,average_fights_won,average_gold,average_deck_size,average_relic_count,average_damage_dealt,average_damage_taken
heuristic,__overall__,20,6,14,0,0,0.3,54.75849999999995,125.6,9.25,6.05,216.85,16.05,1.6,398.9,65.15
heuristic,guild_assassin_apprentice,20,6,14,0,0,0.3,54.75849999999995,125.6,9.25,6.05,216.85,16.05,1.6,398.9,65.15
linear_q,__overall__,20,8,12,0,0,0.4,73.19849999999992,135.55,9.35,6.85,257.75,16.55,0.8,421.2,60.15
linear_q,guild_assassin_apprentice,20,8,12,0,0,0.4,73.19849999999992,135.55,9.35,6.85,257.75,16.55,0.8,421.2,60.15
random,__overall__,20,0,20,0,0,0.0,-2.2015000000000207,113.0,7.85,4.4,148.0,13.6,1.2,241.85,70.45
random,guild_assassin_apprentice,20,0,20,0,0,0.0,-2.2015000000000207,113.0,7.85,4.4,148.0,13.6,1.2,241.85,70.45
