policy,character_id,runs,wins,defeats,stalls,truncated,win_rate,average_reward,average_steps,average_completed_nodes,average_fights_won,average_gold,average_deck_size,average_relic_count,average_damage_dealt,average_damage_taken
heuristic,__overall__,20,4,16,0,0,0.2,39.351499999999916,149.95,9.1,5.95,207.5,15.7,1.55,364.45,68.8
heuristic,sewer_diplomat,20,4,16,0,0,0.2,39.351499999999916,149.95,9.1,5.95,207.5,15.7,1.55,364.45,68.8
linear_q,__overall__,20,9,11,0,0,0.45,64.13249999999984,259.0,9.35,6.25,243.65,13.5,1.45,402.55,65.7
linear_q,sewer_diplomat,20,9,11,0,0,0.45,64.13249999999984,259.0,9.35,6.25,243.65,13.5,1.45,402.55,65.7
random,__overall__,20,0,20,0,0,0.0,-1.0410000000000372,123.15,7.5,4.75,153.75,13.35,1.0,216.55,72.85
random,sewer_diplomat,20,0,20,0,0,0.0,-1.0410000000000372,123.15,7.5,4.75,153.75,13.35,1.0,216.55,72.85
