policy,character_id,runs,wins,defeats,stalls,truncated,win_rate,average_reward,average_steps,average_completed_nodes,average_fights_won,average_gold,average_deck_size,average_relic_count,average_damage_dealt,average_damage_taken
heuristic,__overall__,20,13,7,0,0,0.65,84.27349999999993,145.4,9.65,5.75,243.05,15.35,2.1,409.9,60.3
heuristic,hedge_witch,20,13,7,0,0,0.65,84.27349999999993,145.4,9.65,5.75,243.05,15.35,2.1,409.9,60.3
linear_q,__overall__,20,13,7,0,0,0.65,84.27349999999993,145.4,9.65,5.75,243.05,15.35,2.1,409.9,60.3
linear_q,hedge_witch,20,13,7,0,0,0.65,84.27349999999993,145.4,9.65,5.75,243.05,15.35,2.1,409.9,60.3
random,__overall__,20,0,20,0,0,0.0,-8.15750000000003,131.15,7.65,4.15,133.85,12.7,1.4,216.75,74.35
random,hedge_witch,20,0,20,0,0,0.0,-8.15750000000003,131.15,7.65,4.15,133.85,12.7,1.4,216.75,74.35
